"response","radius_km","predictor","predictor_role","n_edges","n_nodes","n_spatial_folds","observed_partial_beta","beta_null_mean","beta_null_sd","beta_null_lower_95","beta_null_upper_95","beta_empirical_p","beta_two_sided_p","beta_percentile","beta_monte_carlo_se","observed_delta_r2","delta_r2_null_mean","delta_r2_empirical_p","BH_q_primary_25km","BH_q_all_turnover_scales","BH_q_all_diagnostics"
"presence",10,"fingerprint_turnover","primary_turnover",1120,536,5,0.051143481286372,0.00568845109540117,0.0487611003648338,-0.0907140560742791,0.10403286321638,0.17982017982018,0.35964035964036,0.821,0.0121382678008196,0.00210359055055698,0.00193628649131113,0.30969030969031,NA,0.17982017982018,0.287712287712288
"presence",10,"composition_hellinger_turnover","composition_sensitivity",1120,536,5,0.0730616030172893,0.00770944985991229,0.0469745717439191,-0.0816788279599084,0.102533265146812,0.0789210789210789,0.157842157842158,0.922,0.00852173235326662,0.00402134893146944,0.00170544994993968,0.118881118881119,NA,NA,0.172191444918718
"presence",10,"total_support_difference","support_change_sensitivity",1120,536,5,-0.00952550790732044,3.80160652243622e-05,0.0435946466189333,-0.0836463077647701,0.084979047162765,0.593406593406593,0.815184815184815,0.407,0.0155252753319882,8.02006643088049e-05,0.00167816177226772,0.833166833166833,NA,NA,0.749566223250434
"presence",10,"mean_total_support","support_level_context",1120,536,5,-0.101782595429749,-0.0202826774864308,0.076753432624855,-0.16775204274556,0.140653558790457,0.859140859140859,0.283716283716284,0.141,0.0109953147453457,0.00635100285749468,0.00386011603391363,0.202797202797203,NA,NA,0.93724457360821
"intensity",10,"fingerprint_turnover","primary_turnover",794,402,5,0.111902769331897,-0.00517016341192589,0.0475545543412787,-0.0988987970810436,0.0926398816448815,0.00799200799200799,0.015984015984016,0.993,0.00281428775797341,0.0100681130507695,0.00183791132031312,0.01998001998002,NA,0.041958041958042,0.031968031968032
"intensity",10,"composition_hellinger_turnover","composition_sensitivity",794,402,5,0.0550073772397071,-0.00394672827721818,0.0490685190420063,-0.0974243718189502,0.0920366755592669,0.122877122877123,0.245754245754246,0.878,0.0103764476043431,0.00230235026215309,0.00184206226717724,0.275724275724276,NA,NA,0.245754245754246
"intensity",10,"total_support_difference","support_change_sensitivity",794,402,5,0.115234239744368,-0.00289020797932562,0.0450907183163365,-0.0818107654846143,0.0866454211955172,0.00599400599400599,0.011988011988012,0.995,0.00243969788301532,0.0116992900670773,0.00179687823253219,0.00999000999000999,NA,NA,0.0287712287712288
"intensity",10,"mean_total_support","support_level_context",794,402,5,0.0277902259974238,0.00554137528545017,0.0555130189230777,-0.102290396369609,0.116156078672605,0.351648351648352,0.703296703296703,0.649,0.0150918529149651,0.000675179441456231,0.00271831969109564,0.636363636363636,NA,NA,0.49785508609038
"presence",25,"fingerprint_turnover","primary_turnover",1742,577,5,0.0841369465459362,0.00240322130092041,0.0416354481474668,-0.08296356380436,0.0860573456512822,0.027972027972028,0.0559440559440559,0.973,0.0052117589345602,0.00540025040130132,0.00132549575453968,0.050949050949051,0.027972027972028,0.041958041958042,0.0745920745920746
"presence",25,"composition_hellinger_turnover","composition_sensitivity",1742,577,5,0.113231510718007,0.00401957877163456,0.0414949743279953,-0.0743902889248648,0.0832857372073749,0.004995004995005,0.00999000999000999,0.996,0.00222824815275916,0.00886012285154347,0.00119983608818214,0.00799200799200799,NA,NA,0.0287712287712288
"presence",25,"total_support_difference","support_change_sensitivity",1742,577,5,0.0138547135439391,0.000209795537137404,0.0392967092829284,-0.0733984965978542,0.0830848065981687,0.352647352647353,0.705294705294705,0.648,0.0151016270043988,0.000165781659465791,0.0013323908071829,0.721278721278721,NA,NA,0.49785508609038
"presence",25,"mean_total_support","support_level_context",1742,577,5,-0.128531555070629,-0.0119709648630916,0.064632438685428,-0.137856578091002,0.114859395182559,0.959040959040959,0.0839160839160839,0.041,0.00626435597384037,0.0109389971506567,0.00285816696484538,0.0539460539460539,NA,NA,0.959040959040959
"intensity",25,"fingerprint_turnover","primary_turnover",1183,440,5,0.091969114984405,-0.00303020626568746,0.0417412043201871,-0.0871614723019543,0.0807604032207093,0.013986013986014,0.027972027972028,0.987,0.00371168812941322,0.00631979602456512,0.00130737298505662,0.02997002997003,0.027972027972028,0.041958041958042,0.047952047952048
"intensity",25,"composition_hellinger_turnover","composition_sensitivity",1183,440,5,0.0373653587253435,-0.0022833768759799,0.0418455610909404,-0.0847800129773958,0.0777155634174183,0.178821178821179,0.357642357642358,0.822,0.0121118729913595,0.000956955800947346,0.00120256993342309,0.388611388611389,NA,NA,0.287712287712288
"intensity",25,"total_support_difference","support_change_sensitivity",1183,440,5,0.124831557668552,-0.00220577680983299,0.0401926107504546,-0.0778889336813605,0.0794871037011735,0.003996003996004,0.00799200799200799,0.997,0.00199400599000598,0.0133608726810853,0.00138787812270411,0.003996003996004,NA,NA,0.0287712287712288
"intensity",25,"mean_total_support","support_level_context",1183,440,5,-0.0217964226784482,0.00196283940511725,0.0476886592077226,-0.0919217236288012,0.0970453841195224,0.696303696303696,0.609390609390609,0.304,0.0145345658762928,0.000424040241815971,0.00203127252908928,0.64035964035964,NA,NA,0.79577565291851
"presence",50,"fingerprint_turnover","primary_turnover",1836,580,5,0.0727450209658465,0.00326385752257568,0.041707147537556,-0.0761354473740239,0.0852914419849931,0.048951048951049,0.0979020979020979,0.952,0.00681970200391621,0.00387916690569257,0.00128165925176727,0.0839160839160839,NA,0.0587412587412587,0.117482517482517
"presence",50,"composition_hellinger_turnover","composition_sensitivity",1836,580,5,0.11294068022329,0.00457424577781529,0.0423737801169772,-0.0797734434575871,0.0904052959249353,0.004995004995005,0.00999000999000999,0.996,0.00222824815275916,0.00856605637977403,0.00121864355450994,0.00699300699300699,NA,NA,0.0287712287712288
"presence",50,"total_support_difference","support_change_sensitivity",1836,580,5,0.0125411558824146,0.0016870319078093,0.0398934253126436,-0.0700783433649436,0.0838787315035289,0.393606393606394,0.787212787212787,0.607,0.0154415659361349,0.000129302261879793,0.00130941065358151,0.778221778221778,NA,NA,0.524808524808525
"presence",50,"mean_total_support","support_level_context",1836,580,5,-0.11192403049997,-0.0123279569566019,0.0629453344159478,-0.135430041214493,0.114749976401176,0.937062937062937,0.127872127872128,0.063,0.00767574569497617,0.00841644876495884,0.0027614546923003,0.0899100899100899,NA,NA,0.959040959040959
"intensity",50,"fingerprint_turnover","primary_turnover",1227,442,5,0.0857146608297326,-0.00213752289218862,0.0418178477585561,-0.0824476563422377,0.0839570654315562,0.024975024975025,0.04995004995005,0.976,0.00493223541169372,0.00537519114703733,0.00128146541699935,0.045954045954046,NA,0.041958041958042,0.0745920745920746
"intensity",50,"composition_hellinger_turnover","composition_sensitivity",1227,442,5,0.0387726522046173,-0.00146112365891351,0.0417660095250514,-0.0828957536866288,0.0809380420542345,0.167832167832168,0.335664335664336,0.833,0.0118120703632622,0.00101740966858488,0.00118083172730573,0.34965034965035,NA,NA,0.287712287712288
"intensity",50,"total_support_difference","support_change_sensitivity",1227,442,5,0.124203598439768,-0.00201344209392755,0.0393951825457118,-0.0747073490134701,0.076022492729111,0.002997002997003,0.00599400599400599,0.998,0.00172772565359922,0.0131409882959574,0.00132417527447746,0.002997002997003,NA,NA,0.0287712287712288
"intensity",50,"mean_total_support","support_level_context",1227,442,5,-0.0208174367341162,0.00129617206157109,0.0489419825863145,-0.0941686652417018,0.0969853076522413,0.672327672327672,0.657342657342657,0.328,0.0148351976818601,0.000389463039418336,0.002152014315546,0.673326673326673,NA,NA,0.79577565291851
